4.75615564710097e-07,0,-4.23363673007771e-08,-0.00278300396166742,0,0.001
7.85342990639037e-07,0,1.27014700979089e-07,0.000444957055151463,-3.96879659128255e-15,0.011
3.16248474518943e-07,0,-5.18312219810468e-07,0.00198878231458366,-2.96319297766502e-14,0.021
6.47667889097647e-07,0,-1.59197134053102e-06,-0.000290033640339971,-1.75586650254245e-13,0.031
4.61875742985285e-07,0,-1.65679739438929e-06,-0.000621086568571627,-2.6273419746238e-13,0.041
5.07474965161236e-07,0,-1.29459294839762e-06,0.000553412479348481,-3.25065983245582e-13,0.051
5.20865455655439e-07,0,-1.24592975225823e-06,0.000819401699118316,-4.38558938513703e-13,0.061
5.18124750215065e-07,0,-9.85955239229952e-07,-0.00115090899635106,-5.58714316131748e-13,0.071
5.12174779032648e-07,0,-3.83001804493688e-07,-0.000180493952939287,-6.22267157506656e-13,0.0810000000000001
5.00212706810998e-07,0,5.85351216386698e-08,0.000401195837184787,-6.66996297603306e-13,0.0910000000000001
5.12042845457472e-07,0,1.7448337530368e-07,-0.000393516005715355,-7.04269596200208e-13,0.101
5.05153593621799e-07,0,4.90103218453442e-07,-0.000578286591917276,-7.29562352370927e-13,0.111
4.99688610489102e-07,0,8.15701184819773e-07,-1.87447640200844e-05,-7.48144168144504e-13,0.121
4.85302564356971e-07,0,8.68280721988413e-07,0.000128106839838438,-7.62763821288842e-13,0.131
4.87378770230862e-07,0,8.65229992541572e-07,-0.000505552452523261,-7.73434647490662e-13,0.141
4.91897480969783e-07,0,9.81350353868038e-07,-0.000236195293837227,-7.81931485706322e-13,0.151
4.73301412284854e-07,0,1.03398076589656e-06,8.2967417256441e-05,-7.89085160060599e-13,0.161
4.61004020735345e-07,0,9.27187329580192e-07,-6.65395054966211e-05,-7.94555122651114e-13,0.171
4.67751505084379e-07,0,8.77818536082486e-07,-0.000330931943608448,-7.98626301808797e-13,0.181
4.623305756013e-07,0,8.86183670445462e-07,-5.71880627830978e-05,-8.02161614042729e-13,0.191
4.44378827069158e-07,0,8.16412750737072e-07,7.55605433369055e-05,-8.05140676352067e-13,0.201
4.38447102624195e-07,0,6.88207933308149e-07,-0.000167754420544952,-8.07377764904665e-13,0.211
4.39873275581704e-07,0,6.26803114300856e-07,-0.000125050777569413,-8.09247037870248e-13,0.221
4.28074457659022e-07,0,5.73835279737978e-07,3.77669806539416e-07,-8.10976340335362e-13,0.231
4.15269369113958e-07,0,4.3854768705387e-07,0.000128581013996154,-8.12372738523415e-13,0.241
4.04693196287553e-07,0,1.57812877432661e-07,0.000306158210150898,-8.13222969867078e-13,0.251
4.06828178256546e-07,0,-3.06075889966451e-07,0.000522844784427434,-8.13448321288629e-13,0.261
4.09986085969649e-07,0,-9.6796861726034e-07,0.000771196908317506,-8.13133306347413e-13,0.271
4.16354623666848e-07,0,-1.83205759185512e-06,0.00104354915674776,-8.13065868972285e-13,0.281
4.28427256338182e-07,0,-2.89063541458745e-06,0.00133227882906795,-8.18013950847074e-13,0.291
4.47484637788875e-07,0,-4.12624194723321e-06,0.00162967038340867,-8.45518696290098e-13,0.301
4.75111193054545e-07,0,-5.51409630134003e-06,0.00192816858179867,-9.4334685462466e-13,0.311
5.12294491272769e-07,0,-7.02413854014594e-06,0.00222087185829878,-1.21576490194619e-12,0.321
5.60164153284859e-07,0,-8.6234676928143e-06,0.00249390350654721,-1.85191597300294e-12,0.331
6.19533182089071e-07,0,-1.02691710708314e-05,0.00274110003374517,-3.14065440321087e-12,0.341
6.91003890551656e-07,0,-1.19126671052072e-05,0.0029577782843262,-5.45509167351743e-12,0.351
7.75694616095279e-07,0,-1.35079253595904e-05,0.00314019294455647,-9.20625034539491e-12,0.361
8.74154522989556e-07,0,-1.50066534843063e-05,0.00327093550004065,-1.4771529485702e-11,0.371
9.86748091236223e-07,0,-1.63660351972794e-05,0.00335940369404852,-2.24247096586305e-11,0.381
1.11427721094515e-06,0,-1.75548884726595e-05,0.00340963900089264,-3.22935359009513e-11,0.391
1.25718349863746e-06,0,-1.85559092642507e-05,0.00342673645354807,-4.43462766508418e-11,0.401
1.41582563628617e-06,0,-1.93641790247057e-05,0.00341216963715851,-5.84092080258003e-11,0.411
1.59032356350508e-06,0,-1.99806345335674e-05,0.00336748897098005,-7.42000003106646e-11,0.421
1.78030188635603e-06,0,-2.04046937142266e-05,0.00329449027776718,-9.13614808806251e-11,0.431
1.98543784790672e-06,0,-2.06385684577981e-05,0.00319671328179538,-1.09497751143994e-10,0.441
2.20537413042621e-06,0,-2.06906606763368e-05,0.00307915825396776,-1.28206320559876e-10,0.451
2.43943145505909e-06,0,-2.0575327653205e-05,0.00294685200788081,-1.47103704217777e-10,0.461
2.68675944425922e-06,0,-2.03113595489413e-05,0.00280419457703829,-1.65845337463111e-10,0.471
2.94629671770963e-06,0,-1.9920002159779e-05,0.00265484466217458,-1.84138010395074e-10,0.481
3.21680408887914e-06,0,-1.94232616195222e-05,0.00249985069967806,-2.01745495309602e-10,0.491
3.49684410139162e-06,0,-1.88417707249755e-05,0.00234002014622092,-2.18488699355035e-10,0.501
3.78457662009168e-06,0,-1.81885225174483e-05,0.00217618583701551,-2.34239988516904e-10,0.511
4.07805237045977e-06,0,-1.74737397173885e-05,0.00201002811081707,-2.48916776079966e-10,0.521
4.37547851106501e-06,0,-1.67088219313882e-05,0.00184481672476977,-2.62475874368562e-10,0.531
4.67490963274031e-06,0,-1.59076989802998e-05,0.00168394460342824,-2.74907124842017e-10,0.541
